Time;NOK;USD;DKK;PLN;SEK
3,23;0,54761272;0,253248412;0,854614548;0,329198345;0,374762715
3,24;0,547431916;0,259640387;0,855432653;0,32457187;0,37009718
3,25;0,54771685;0,266216478;0,855237722;0,320002848;0,36561769
3,26;0,548838926;0,272839431;0,854882553;0,31552328;0,360521268
3,27;0,550927375;0,279457278;0,855051127;0,311122187;0,354315002
3,28;0,553647488;0,286181473;0,855353423;0,306748008;0,347507749
3,29;0,556664556;0,29312347;0,855399422;0,302349183;0,340608365
3,3;0,559643872;0,300394721;0,854799103;0,297874152;0,334125706
3,31;0,562250727;0,308106681;0,853162447;0,293271356;0,328568627
3,32;0,564594675;0,316548023;0,850218282;0,288473954;0,323940362
3,33;0,567552847;0,326119542;0,846136415;0,283436741;0,319267866
3,34;0,571083917;0,336673464;0,84106215;0,278191204;0,314527008
3,35;0,575099767;0,34803939;0,835133082;0,272771416;0,309744816
3,36;0,579512276;0,360046919;0,828486808;0,267211453;0,304948322
3,37;0,584233326;0,37252565;0,821260923;0,26154539;0,300164553
3,38;0,589174797;0,385305183;0,813593023;0,255807301;0,295420541
3,39;0,594248569;0,398215118;0,805620704;0,250031261;0,290743316
3,4;0,599366523;0,411085055;0,79748156;0,244251345;0,286159905
3,41;0,60444054;0,423744593;0,789313188;0,238501628;0,281697341
3,42;0,6093825;0,436023331;0,781253184;0,232816185;0,277382651
3,43;0,614104284;0,447750869;0,773439143;0,22722909;0,273242867
3,44;0,618517773;0,458756808;0,76600866;0,221774419;0,269305017
3,45;0,622534847;0,468870745;0,759099332;0,216486246;0,265596132
3,46;0,626067386;0,477922282;0,752848753;0,211398647;0,26214324
3,47;0,629036128;0,485752088;0,747382272;0,20654234;0,258974216
3,48;0,632035956;0,493077504;0,741885742;0,201694186;0,256162758
3,49;0,635380588;0,500371054;0,735911558;0,19674253;0,253698374
3,5;0,638945102;0,507577541;0,72961447;0,191742874;0,251517757
3,51;0,642604576;0,51464177;0,723149227;0,18675072;0,249557597
3,52;0,646234091;0,521508545;0,716670578;0,181821571;0,247754585
3,53;0,649708723;0,52812267;0,710333271;0,177010929;0,246045412
3,54;0,652903553;0,534428951;0,704292055;0,172374295;0,24436677
3,55;0,655693659;0,540372191;0,698701679;0,167967172;0,242655348
